Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist
2025-06-02,1401.5958251953125,1405.3633379328091,1383.650821945961,1400.0095486308933,8098668,1410.3849975585938,1326.0136108398438,1396.3997557215982,1445.2882539315954,1375.4817411855922,55.15099727259901,21.53259394443512,29.438113696261745,-7.905519751826624
2025-06-03,1393.4661865234375,1414.2863856817387,1391.384190812638,1410.1223942601396,11252626,1409.6215942382812,1329.318076171875,1396.1203681789161,1445.335347205485,1373.9078412710774,52.71325615869405,18.865698854982384,27.323630728005874,-8.45793187302349
2025-06-04,1411.31201171875,1413.4931269376204,1394.0609660849138,1402.5873087929724,8126827,1410.4891052246094,1332.8148779296876,1397.567191373186,1445.4358897793704,1375.5423206698483,57.18689585912181,17.984856007259168,25.455875783856534,-7.471019776597366
2025-06-05,1430.0501708984375,1442.244785474372,1411.4110884077945,1415.7734397380668,13716817,1412.2439514160155,1336.2502124023438,1400.6608084708291,1447.4299295278197,1377.0579733042114,61.32435856429691,18.584563271870138,24.081613281459255,-5.497050009589117
2025-06-06,1431.1407470703125,1439.0722510374496,1424.6964000970136,1428.6621520805822,8182161,1415.53056640625,1339.56458984375,1403.563659766018,1443.9197403605995,1387.1413924519006,61.5572137934281,18.929627025411264,23.05121603024966,-4.121589004838395
2025-06-09,1436.3953857421875,1445.0208477095387,1432.9253528317358,1444.5251287223314,7885125,1416.1403015136718,1342.4734692382813,1406.6904908113675,1445.8085510866833,1386.4720519406603,62.72180857733374,19.403427330068553,22.321658290213442,-2.9182309601448893
2025-06-10,1426.1834716796875,1441.4516401070769,1423.704876838395,1437.5850079496329,7913181,1417.2705383300781,1345.5082592773438,1408.546965179779,1446.6447035733704,1387.8963730867858,58.98216937975162,18.738891092776385,21.60510485072603,-2.8662137579496445
2025-06-11,1436.4945068359375,1456.0257865422643,1430.7441181682645,1433.4210733170682,8195700,1418.4850524902345,1348.995146484375,1411.208635813699,1448.9650374686958,1388.0050675117732,61.47953674155801,18.827227146191262,21.049529309819075,-2.2223021636278126
2025-06-12,1429.257080078125,1444.5252503749707,1422.1187744712338,1441.0552171722854,8828114,1417.86044921875,1352.2351684570312,1412.9275352674538,1446.8065189268818,1388.9143795106183,58.77454694151892,18.10453642506741,20.46053073286874,-2.355994307801332
2025-06-13,1415.67431640625,1423.2092208521976,1402.1907840779525,1411.8076840776937,9757276,1416.4476501464844,1355.2650048828125,1413.1891334711488,1442.6658766890105,1390.2294236039584,53.97483661116639,16.248480935546468,19.618120773404286,-3.369639837857818
2025-06-16,1425.4896240234375,1430.0502146798779,1412.204330439343,1414.6829254727506,8458093,1416.2989379882813,1358.937294921875,1414.360608761843,1442.2626927970712,1390.3351831794914,56.725028414004505,15.392126035035972,18.772921825730624,-3.380795790694652
2025-06-17,1418.946044921875,1435.6022520574631,1413.59237643736,1435.6022520574631,10366599,1416.6261108398437,1362.5074633789063,1414.7973169675604,1442.5480116288654,1390.704210050822,54.391594221204485,14.023788950636572,17.823095250711813,-3.7993063000752407
2025-06-18,1417.85546875,1430.4468040463896,1413.4931173168031,1417.7563491543892,6681735,1416.6707275390625,1366.1044018554687,1415.088569518269,1442.5981419683706,1390.7433131097544,53.99295204996504,12.704917193300616,16.799459639229575,-4.094542445928958
2025-06-19,1421.0281982421875,1427.5716651338516,1413.4931722804179,1417.8555238832446,10007230,1417.8554992675781,1370.6372607421874,1415.6542484443564,1442.1781264353403,1393.532872099816,55.02566105604718,11.779922958943644,15.79555230317239,-4.015629344228746
2025-06-20,1453.6463623046875,1458.4053131642288,1415.8725983169522,1418.7477927518771,29010635,1419.8086242675781,1376.5958032226563,1419.2725450024832,1448.8423314907932,1390.774917044363,63.97793482895575,13.52298702579833,15.341039247697578,-1.818052221899249
2025-06-23,1444.326904296875,1451.266970188698,1429.6535737155343,1440.5593915455418,5989078,1420.8992065429688,1382.04078125,1421.658674459092,1451.9308526244847,1389.867560461453,60.285624806201724,13.991094849339788,15.071050368026022,-1.0799555186862335
2025-06-24,1438.3782958984375,1462.3710470398119,1430.744150698803,1452.4566670598808,16402744,1422.321923828125,1387.304326171875,1423.2510193580774,1453.8401870428331,1390.8036606134167,57.985268947771985,13.723870453101426,14.801614385041104,-1.0777439319396773
2025-06-25,1454.737060546875,1459.7933702625824,1447.9952335758323,1451.4652666586912,7525851,1425.0186401367187,1392.2288012695312,1426.2496899474868,1457.9807375027135,1392.0565427707238,62.25111514675195,14.663081904321643,14.773907888897213,-0.11082598457556969
2025-06-26,1482.497314453125,1485.9673475108061,1452.5558137403293,1456.5215658062507,14657893,1428.8604614257813,1397.2891015625,1431.6066065670714,1469.3697403919125,1388.35118245965,68.15918238968702,17.44632387253614,15.308391085624999,2.1379327869111417
2025-06-27,1502.4251708984375,1508.9686374999123,1484.083567880206,1486.5621628826696,11117052,1433.5450073242187,1402.7638208007813,1438.3512317414873,1484.5611261331783,1382.528888515259,71.59590228034642,21.017794602557615,16.450271789011524,4.567522813546091
2025-06-30,1487.7518310546875,1511.7447031481738,1483.191240482831,1500.838885203447,8409527,1437.8528076171874,1407.2471020507812,1443.056050723697,1491.9658421983695,1383.7397730360053,65.95126393066931,22.405913567573634,17.641400144723946,4.764513422849689
2025-07-01,1515.3138427734375,1518.2881567329412,1487.256099345396,1487.7518183386467,10368523,1443.9451904296875,1411.8652197265626,1449.9377452046247,1504.1146785859767,1383.7757022733983,70.63455510998445,25.436812112400503,19.20048253825926,6.236329574141244
2025-07-02,1505.7960205078125,1516.900077238324,1495.7824003020085,1515.3138007089854,6361002,1448.6693908691407,1416.3782470703125,1455.2575809477855,1512.7597614923263,1384.579020245955,67.19728807719002,26.762313046703184,20.712848639948046,6.049464406755138
2025-07-03,1504.8046875,1518.7839394915495,1500.0457365549344,1507.7790015843786,11283291,1452.4071166992187,1420.696953125,1459.9763530003775,1520.5185863560018,1384.2956470424356,66.83249182139676,27.416746609460233,22.053628233850482,5.363118375609751
2025-07-04,1514.223388671875,1516.900223008299,1504.2097675037892,1510.9515946827762,6603501,1456.5612487792969,1425.1723071289061,1465.1427373500437,1529.1957703034639,1383.92672725513,68.57787319697013,28.36838728220323,23.316580043521032,5.051807238682198
2025-07-07,1528.3016357421875,1531.5734294639212,1511.9429091838053,1513.5291857359532,7251074,1461.156561279297,1429.9530200195313,1471.157870530248,1539.7998041128783,1382.5133184457156,71.03169397812803,29.913739287457474,24.63601189230832,5.277727395149153
2025-07-08,1524.4349365234375,1531.672481820406,1517.0982716385254,1522.8486600409224,7171261,1466.0691345214843,1433.3001123046874,1476.2318768153136,1547.730794102519,1384.4074749404497,69.42801114918768,30.475133208169837,25.803836155480628,4.671297052689209
2025-07-09,1505.9942626953125,1537.7202774459709,1497.1704406377573,1523.5426661942138,8870660,1469.544122314453,1435.66568359375,1479.0663897562658,1551.819427837715,1387.268816791191,62.21401932294698,29.09662588103538,26.46239410059158,2.6342317804437982
2025-07-10,1504.2095947265625,1511.6453792793734,1494.5926951149827,1506.6881895774993,10047129,1473.291748046875,1437.89046875,1481.460980705818,1554.6636405855422,1391.9198555082078,61.54749404836035,27.542646617186165,26.6784446039105,0.8642020132756656
